icpsr,bioname,party_code
14226,"GRASSLEY, Charles Ernest",200
14307,"LEAHY, Patrick Joseph",100
14435,"MARKEY, Edward John",100
14852,"ROBERTS, Charles Patrick (Pat)",200
14858,"SCHUMER, Charles Ellis (Chuck)",100
14871,"WYDEN, Ronald Lee",100
14921,"McCONNELL, Addison Mitchell (Mitch)",200
15015,"CARPER, Thomas Richard",100
15021,"DURBIN, Richard Joseph",100
15408,"CARDIN, Benjamin Louis",100
15424,"INHOFE, James Mountain",200
20101,"BOOZMAN, John",200
20146,"CAPITO, Shelley Moore",200
20330,"VAN HOLLEN, Christopher",100
20351,"BLACKBURN, Marsha",200
20707,"MURPHY, Christopher",100
20713,"HIRONO, Mazie",100
20735,"GILLIBRAND, Kirsten",100
20919,"CASSIDY, Bill",200
20923,"PETERS, Gary C.",100
20930,"HEINRICH, Martin",100
21112,"GARDNER, Cory",200
21133,"YOUNG, Todd",200
21166,"LANKFORD, James",200
21173,"SCOTT, Tim",200
21300,"SINEMA, Kyrsten",100
21301,"COTTON, Tom",200
21325,"DUCKWORTH, Tammy",100
21338,"DAINES, Steve",200
21350,"CRAMER, Kevin",200
21501,"McSALLY, Martha",200
21743,"ROSEN, Jacklyn Sheryl",100
29142,"REED, John F. (Jack)",100
29147,"SANDERS, Bernard",328
29345,"CRAPO, Michael Dean",200
29373,"MENENDEZ, Robert",100
29386,"PORTMAN, Robert Jones (Rob)",200
29389,"BROWN, Sherrod",100
29534,"WICKER, Roger F.",200
29548,"BURR, Richard M.",200
29566,"GRAHAM, Lindsey O.",200
29722,"MORAN, Jerry",200
29732,"STABENOW, Deborah Ann",100
29735,"BLUNT, Roy",200
29754,"THUNE, John",200
29924,"UDALL, Thomas (Tom)",100
29935,"TOOMEY, Patrick Joseph",200
29940,"BALDWIN, Tammy",100
39310,"CANTWELL, Maria E.",100
40300,"MURKOWSKI, Lisa",200
40304,"ALEXANDER, Lamar",200
40305,"CORNYN, John",200
40700,"KLOBUCHAR, Amy",100
40702,"TESTER, Jon",100
40703,"CASEY, Robert (Bob), Jr.",100
40704,"WHITEHOUSE, Sheldon",100
40707,"BARRASSO, John A.",200
40902,"RISCH, James",200
40906,"SHAHEEN, Jeanne",100
40908,"MERKLEY, Jeff",100
40909,"WARNER, Mark",100
40910,"BENNET, Michael F.",100
40915,"MANCHIN, Joe, III",100
40916,"COONS, Christopher A.",100
41101,"BLUMENTHAL, Richard",100
41102,"RUBIO, Marco",200
41104,"PAUL, Rand",200
41107,"HOEVEN, John",200
41110,"LEE, Mike",200
41111,"JOHNSON, Ron",200
41112,"SCHATZ, Brian Emanuel",100
41300,"KING, Angus Stanley, Jr.",328
41301,"WARREN, Elizabeth",100
41302,"FISCHER, Debra (Deb)",200
41304,"CRUZ, Rafael Edward (Ted)",200
41305,"KAINE, Timothy Michael (Tim)",100
41308,"BOOKER, Cory Anthony",100
41500,"SULLIVAN, Daniel Scott",200
41501,"PERDUE, David Alfred, Jr.",200
41502,"ERNST, Joni",200
41503,"SASSE, Benjamin Eric",200
41504,"TILLIS, Thomas Roland (Thom)",200
41505,"ROUNDS, Marion Michael (Mike)",200
41700,"CORTEZ MASTO, Catherine Marie",100
41701,"HARRIS, Kamala Devi",100
41702,"HASSAN, Margaret (Maggie)",100
41703,"KENNEDY, John Neely",200
41705,"JONES, Gordon Douglas (Doug)",100
41706,"SMITH, Tina",100
41707,"HYDE-SMITH, Cindy",200
41900,"BRAUN, Michael",200
41901,"HAWLEY, Joshua David",200
41902,"ROMNEY, Willard Mitt (Mitt)",200
41903,"SCOTT, Richard Lynn (Rick)",200
49300,"FEINSTEIN, Dianne",100
49308,"MURRAY, Patty",100
49703,"COLLINS, Susan Margaret",200
49706,"ENZI, Michael B.",200
94659,"SHELBY, Richard C.",200
41905,"KELLY, Mark Edward",100
